mod_id,mod_installed_name,mod_version,file_installed_name
7446,"360 Walk and Run Plus","3.1.3.0","360 Walk and Run Plus SSE-7446-3-13.rar"
5804,"A Quality World Map - Clear Map Skies","9.0.1.0CMS","A Quality World Map - Clear Map Skies-5804-9-0-1CMS.zip"
5804,"A Quality World Map - Vivid 3 w Flat Roads","9.0.1.0VF","9.0.1 A Quality World Map - Vivid with Flat Roads-5804-9-0-1VF.zip"
14402,"All-in-One HD Textures - Sky Rework (1K. 2K. 4K)","4.0.0.0","HD Textures - Sun Rework 2K-14402-3-0.rar"
272,"Alternate Start - Live Another Life","4.0.3.0","Alternate Start - Live Another Life-272-4-0-3.7z"
13780,"Animations SE","1.0.0.0","Animations-1.0.zip-13780-1-0.zip"
2014,"ApachiiSkyHair SSE Female","1.5.0.0","Real Bows-3144-1-05.zip"
2014,"ApachiiSkyHair SSE Male","1.2.0.0","ApachiiSkyHairMale_v_1_2_Optimized-2014-1-2.7z"
0,"ApachiiSkyHair v 1 6 Full","d2018.4.9.0","C:/Games/Skyrim Special Edition/Mod Organizer 2/mods/ApachiiSkyHair_v_1_6_Full-10168-1-6-Full.7z"
1090,"Apocalypse - Magic of Skyrim","9.45.0.0SSE","Apocalypse v945-1090-9-45.zip"
1090,"Apocalypse - Ordinator Compatibility Patch","d2018.4.9.0","Apocalypse - Ordinator Compatibility Patch WHY DO I HAVE TO CHANGE THE NAME-1090-.zip"
201,"BodySlide and Outfit Studio","4.5.3.0","1_BodySlide and Outfit Studio - v4.5.3-201-4-5-3.7z"
901,"Book Covers Skyrim","4.2.0.0","Book Covers Skyrim SE - Desaturated.7z-901-4-2.7z"
198,"Caliente's Beautiful Bodies Enhancer -CBBE-","1.3.0.0","1_Caliente's Beautiful Bodies Enhancer - v1.3-198-1-3.7z"
667,"Campfire - Complete Camping System","1.11.0.0SE2","Campfire 1.11SE Release-667-1-11SE2.zip"
0,"CBBE Physics Body & Clothing","",""
13207,"CBP Physics","0.19.0.0","cbp.7z-13207-19.7z"
6369,"Cloaks of Skyrim SSE","1.2.1.0","Cloaks of Skyrim SSE - v1.2.1-6369-1-2-1.rar"
1525,"Combat Evolved","2.4.0.0b","Guards Attack Hostiles-1525-2-4b.7z"
9519,"Convenient Horses","7.0.0.0","Convenient Horses-9519-7-0.zip"
15723,"Crystal - Healer Trainer Follower - SSE","1.0.0.0","Crystal Healer SSE - Human Ears - 7Base Bombshell Physics Body-15723-1-0.7z"
276,"Cutting Room Floor","3.0.6.0","Cutting Room Floor-276-3-0-6.7z"
694,"Darker Nights 1.7p11","1.7.0.0p11","Darker Nights-694-1-7p11.7z"
9030,"Detailed Rugs","1.4.0.0","Detailed Rugs SE v1-4-9030-1-4.rar"
695,"Diverse Dragons Collection SE (DDCse)","2.1.3.0","Diverse Dragons Collection SE-695-2-1-3.zip"
5291,"Diversity - An NPC Overhaul","2.6.0.0","Diversity - An NPC Overhaul (v2.6)-5291-2-6.7z"
-1,"DLC: Dawnguard","",""
-1,"DLC: Dragonborn","",""
-1,"DLC: HearthFires","",""
2879,"Dragon Souls to Perk Points","2.1.0.0","Dragon Souls to Perk Points-2879-2-1.7z"
2357,"Enhanced Blood Textures","3.73.0.0","Enhanced Blood Textures SE-2357-3-73.7z"
992,"Enhanced Textures Detail (UV-tweaks)","1.1.5.0","Enhanced Textures Detail (UV-Tweaks)-992-1-1-5.7z"
2057,"Falskaar","2.2.0.0","Falskaar V2_2-2057-2-2.7z"
0,"FNIS","",""
